# Opposite Sex Marriages, Same Sex Marriages, Male Civil Partnerships, Female Civil Partnerships
3.441000000000000000e+03,0.000000000000000000e+00,5.400000000000000000e+01,4.400000000000000000e+01
7.904000000000000000e+03,0.000000000000000000e+00,5.300000000000000000e+01,6.100000000000000000e+01
1.189200000000000000e+04,0.000000000000000000e+00,8.300000000000000000e+01,1.120000000000000000e+02
5.666000000000000000e+03,0.000000000000000000e+00,5.500000000000000000e+01,6.300000000000000000e+01
3.194000000000000000e+03,0.000000000000000000e+00,2.200000000000000000e+01,3.100000000000000000e+01
7.877000000000000000e+03,0.000000000000000000e+00,6.200000000000000000e+01,8.300000000000000000e+01
1.125100000000000000e+04,0.000000000000000000e+00,7.800000000000000000e+01,1.140000000000000000e+02
5.202000000000000000e+03,0.000000000000000000e+00,5.700000000000000000e+01,5.100000000000000000e+01
3.133000000000000000e+03,0.000000000000000000e+00,2.500000000000000000e+01,3.700000000000000000e+01
8.290000000000000000e+03,0.000000000000000000e+00,5.300000000000000000e+01,7.400000000000000000e+01
1.157700000000000000e+04,0.000000000000000000e+00,7.200000000000000000e+01,9.900000000000000000e+01
5.480000000000000000e+03,0.000000000000000000e+00,4.700000000000000000e+01,5.800000000000000000e+01
3.131000000000000000e+03,0.000000000000000000e+00,4.700000000000000000e+01,5.100000000000000000e+01
8.644000000000000000e+03,0.000000000000000000e+00,5.300000000000000000e+01,8.100000000000000000e+01
1.165300000000000000e+04,0.000000000000000000e+00,7.400000000000000000e+01,1.200000000000000000e+02
5.707000000000000000e+03,0.000000000000000000e+00,5.500000000000000000e+01,7.300000000000000000e+01
3.255000000000000000e+03,0.000000000000000000e+00,3.600000000000000000e+01,4.700000000000000000e+01
9.159000000000000000e+03,0.000000000000000000e+00,6.300000000000000000e+01,7.500000000000000000e+01
1.163900000000000000e+04,0.000000000000000000e+00,9.300000000000000000e+01,1.130000000000000000e+02
6.481000000000000000e+03,0.000000000000000000e+00,6.500000000000000000e+01,8.200000000000000000e+01
3.258000000000000000e+03,0.000000000000000000e+00,2.900000000000000000e+01,3.400000000000000000e+01
8.113000000000000000e+03,0.000000000000000000e+00,6.300000000000000000e+01,7.800000000000000000e+01
1.031200000000000000e+04,0.000000000000000000e+00,8.800000000000000000e+01,1.060000000000000000e+02
5.864000000000000000e+03,0.000000000000000000e+00,3.700000000000000000e+01,9.500000000000000000e+01
3.549000000000000000e+03,0.000000000000000000e+00,3.100000000000000000e+01,4.600000000000000000e+01
8.342000000000000000e+03,0.000000000000000000e+00,5.400000000000000000e+01,7.500000000000000000e+01
1.103800000000000000e+04,0.000000000000000000e+00,6.500000000000000000e+01,7.500000000000000000e+01
5.773000000000000000e+03,3.670000000000000000e+02,4.300000000000000000e+01,4.700000000000000000e+01
3.444000000000000000e+03,4.440000000000000000e+02,1.200000000000000000e+01,8.000000000000000000e+00
7.761000000000000000e+03,4.260000000000000000e+02,6.000000000000000000e+00,7.000000000000000000e+00
1.095800000000000000e+04,4.760000000000000000e+02,8.000000000000000000e+00,9.000000000000000000e+00
5.857000000000000000e+03,3.250000000000000000e+02,7.000000000000000000e+00,7.000000000000000000e+00
3.357000000000000000e+03,1.550000000000000000e+02,8.000000000000000000e+00,4.000000000000000000e+00
7.770000000000000000e+03,2.820000000000000000e+02,9.000000000000000000e+00,7.000000000000000000e+00
1.094600000000000000e+04,3.530000000000000000e+02,1.700000000000000000e+01,8.000000000000000000e+00
6.158000000000000000e+03,2.080000000000000000e+02,8.000000000000000000e+00,9.000000000000000000e+00
3.433000000000000000e+03,1.450000000000000000e+02,4.000000000000000000e+00,6.000000000000000000e+00
7.777000000000000000e+03,2.400000000000000000e+02,6.000000000000000000e+00,4.000000000000000000e+00
1.050100000000000000e+04,3.690000000000000000e+02,1.700000000000000000e+01,1.000000000000000000e+01
5.747000000000000000e+03,2.280000000000000000e+02,1.400000000000000000e+01,9.000000000000000000e+00
3.332000000000000000e+03,1.300000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+00
7.568000000000000000e+03,2.520000000000000000e+02,7.000000000000000000e+00,8.000000000000000000e+00
9.745000000000000000e+03,3.730000000000000000e+02,7.000000000000000000e+00,5.000000000000000000e+00
5.898000000000000000e+03,2.270000000000000000e+02,1.400000000000000000e+01,1.000000000000000000e+01
